model,audio,visual,audio_visual,overall,av_temporal,checkpoint,sha256
without_cmg,86.50807740102965,97.36997287415969,84.31658714566376,88.16988755598709,90.33379694019472,D:\model\qast_ehr_ablation_without_cmg_seed713\2026-09-19-11-37-43_seed713\best.pt,5be05afb17bbab5048f372c4a887333dd90702fd15b9692973debb96bc9d7863
without_scm,88.05254748801704,97.94787121122773,84.6140892506315,88.76186299996868,90.36856745479832,D:\model\qast_ehr_ablation_without_scm_seed713\2026-09-19-13-43-55_seed713\best.pt,be9695ae4557a6cc5e607dc84550b2b6764be741cccfe0e57a83ab37a55054cb
without_adaptive_position,84.43103142197764,95.589102488501,80.74094863878754,85.33529614432925,84.73574408901251,D:\model\qast_ehr_ablation_without_adaptive_position_seed713\2026-09-19-15-43-05_seed713\best.pt,05188080ce49a329a4c9e8cf5ef3a284f91dfd5b080cc3a34fc24eba45d32ab0
without_patch_grounder,86.95189064441684,96.4618469159099,83.07044625315746,87.31167976947411,87.30876216968011,D:\model\qast_ehr_ablation_without_patch_grounder_seed713\2026-09-19-17-43-24_seed713\best.pt,2e83d3bdb9879f92ea27698221f38a1674aed810d2882afd2e5f045081858178
